"appid","pid","product_code","product_name_ro","pid_category","size_length","size_width","size_thickness","size_diameter","size_height","size_alloy","size_type","um1","um2","um1_to_um2","product_name_en","um_base","is_active","additional_info","cu_debitare","aliaj","densitate","size_roll_weight"
"4132","4547","1250830352F152030200","TABLA ALUMINIU 5083 H111  35 MM","{27}",,,"35.00",,,"EN AW 5083 H111","","KG","BUC","1.000000","ALU PLATES 5083 H111 35X1520X3020 MM ","KG","y",,"y","5083",,
"4133","4548","120PP50830701520302G","TABLA ALUMINIU DE PRECIZIE 5083 70 MM","{25}",,,"70.00",,,"5083","","KG","BUC","1.000000","PREC. MACH. CAST AL PLATE 5083 70 MM","KG","y",,"y","PP5083",,
"4134","4549","12010200150030001540","TABLA ALUMINIU 1050 H24  2X1500X3000 MM","{19}","3000","1500","2.00",,,"EN AW 1050 H24","","KG","BUC","24.300000","AL. SHEETS 1050 H24 2.0X1500X3000 MM","KG","y",,"n",,,
"4135","4550","120PP50830081540304G","TABLA ALUMINIU DE PRECIZIE 5083 8 MM","{25}",,,"8.00",,,"5083","","KG","BUC","1.000000","PREC. MACH. CAST AL PLATE 5083 8 MM","KG","y",,"y","PP5083",,
"4136","4551","12010100100020001540","TABLA ALUMINIU 1050 H24 1x1000x2000 MM","{19}","2000","1000","1.00",,,"EN AW 1050 H24","","KG","BUC","5.400000","AL. SHEETS 1050 H24 1,0X1000X2000 MM","KG","y",,"n",,,
"4137","4552","48000130000003002040","BARA BRONZ D13X3000 MM CUSN7ZN4PB7-C-GC","{7}","3000",,,"13",,"CUSN7ZN4PB7-C-GC","","KG","ML","1.180700","BRONZE ROUND BARS D13X3000 MM CUSN7ZN4PB7-C-GC","KG","y",,"y",,,
"4138","4553","12010300100020001540","TABLA ALUMINIU 1050 H24 3.0X1000X2000 MM","{19}","2000","1000","3.00",,,"EN AW 1050 H24","","KG","BUC","16.200000","AL. SHEETS 1050 H24 3,0X1000X2000 MM","KG","y",,"n",,,
"4139","4554","12010100125025001540","TABLA ALUMINIU 1050 H24 1x1250x2500 MM","{19}","2500","1250","1.00",,,"EN AW 1050 H24","","KG","BUC","8.437500","AL. SHEETS 1050 H24 1X1250X2500 MM","KG","y",,"n",,,
"4140","4555","12950400100020001300","TABLA AL STRIATA 5754 H114 4x1000x2000 MM","{22}","2000","1000","4.00",,,"EN AW 5754 H114","","KG","BUC","23.600000","AL. TREAD SHEETS QUINTETT 5754 H114 4X1000X2000 MM","KG","y",,"n",,,
"4141","4556","24040020020600061500","TEAVA RECTANG. ALU 40x20x2x6000 MM 6060  T6","{32}","6000","40","2.00",,"20","EN AW 6060 T6","","KG","ML","0.604800","ALU RECT. TUBES 40X20X2X6000 MM 500-3299 6060 T6","KG","y",,"n",,,
"4142","4557","12010150150030001540","TABLA  ALUMINIU 1050 H24  1.5x1500x3000 MM","{19}","3000","1500","1.50",,,"EN AW 1050 H24","","KG","BUC","18.225000","AL. SHEETS 1050 H24 1.5X1500X3000 MM","KG","y",,"n",,,
"4143","4558","24080020020600061500","TEAVA RECTANG. ALU 80x20x2x6000 MM 6060  T6","{32}","6000","80","2.00",,"20","EN AW 6060 T6","","KG","ML","1.036800","ALU RECT. TUBES 80X20X2X6000 MM 6060 T6","KG","y",,"n",,,
"4144","4559","1260820252F152030200","TABLA  ALUMINIU 6082 T651  25 MM","{27}",,,"25.00",,,"EN AW 6082 T651","","KG","BUC","1.000000","ALU PLATES 6082 T651 25X1520X3020 MM","KG","y",,"y","6082",,
"4145","4560","12060600100020006360","TABLA ALUMINIU 6082 6X1000X2000 MM","{19}","2000","1000","6.00",,,"EN AW 6082 T6","","KG","BUC","32.400000","AL SHEETS 6082  6X1000X2000 ","KG","y",,"n",,,
"4146","4561","12050400125025001300","TABLA ALUMINIU 5754  H111 4.0x1250x2500 MM","{19}","2500","1250","4.00",,,"EN AW 5754 H111","","KG","BUC","33.250000","AL. SHEETS 5754 H111 4X1250X2500 MM ","KG","y",,"n",,,
"4147","4562","47000200050040001140","BARA LATA CUPRU CU-ETP 1/2 T 20X5X4000 MM R=1","{12}","4000","20","5.00",,,"CU-ETP R250","","KG","ML","0.894000","COPPER FLAT BARS 20X5X4000 MM CU-ETP R250","KG","y",,"n",,,
"4148","4563","47000200100040000140","BARA LATA CUPRU CU-ETP 1/2 T 20X10X4000 MM R=1","{12}","4000","20","10.00",,,"CU-ETP R250","","KG","ML","1.788000","COPPER FLAT BARS 20X10X4000 MM CU-ETP R250","KG","y",,"n",,,
"4149","4564","47000600100040001540","BARA LATA CUPRU CU-ETP 1/2 T 60X10X4000 MM R=1","{12}","4000","60","10.00",,,"CU-ETP R250","","KG","ML","5.364000","COPPER FLAT BARS 60X10X4000MM CU-ETP R250","KG","y",,"n",,,
"4150","4565","12707501200152030200","TABLA  ALUMINIU 7075 T651 12 MM","{27}",,,"12.00",,,"EN AW 7075 T651","","KG","BUC","1.000000","ALU PLATES  7075 T651 12x1520x3020 MM","KG","y",,"y","7075",,
"4155","4570","12910150100020001560","TABLA  AL STRIATA 1050 H244 1.5X1000X2000MM","{22}","2000","1000","1.50",,,"EN AW 1050 H244","","KG","BUC","9.500000","AL. TREAD SHEETS QUINTETT 1050 H244 1.5X1000X2000 MM","KG","y",,"n",,,
"4157","4572","23030030020600061500","PROFIL ALU U 30X30X30X2X6000 MM 6060  T6","{31}","6000","30","2.00",,"30","EN AW 6060 T6","","KG","ML","0.464400","ALU U PROFILES 30X30X30X2X6000 MM 6060 T6","KG","y",,"n",,,
"4159","4574","12050100100020001320","TABLA ALUMINIU 5754  H22  1x1000x2000 MM","{19}","2000","1000","1.00",,,"EN AW 5754 H22","","KG","BUC","5.320000","AL. SHEETS 5754 H22 1,0X1000X2000 MM","KG","y",,"n",,,
"4160","4575","1260820102F152030200","TABLA  ALUMINIU 6082 T651 10 MM","{27}",,,"10.00",,,"EN AW 6082 T651","","KG","BUC","1.000000","ALU PLATES 6082 10X1520X3020 MM BOTH SIDE PROT.FOIL","KG","y",,"y","6082",,
"4161","4576","12910200100020001560","TABLA AL STRIATA 1050 H244 2x1000x2000 MM","{22}","2000","1000","2.00",,,"EN AW 1050 H244","","KG","BUC","12.350000","AL. TREAD SHEETS QUINTETT 1050 H244 2X1000X2000 MM","KG","y",,"n",,,
"4162","4577","24020020020600061500","TEAVA PATRATA ALU 20x20x2x6000 MM 6060  T6","{33}","6000","20","2.00",,,"EN AW 6060 T6","","KG","ML","0.388800","ALU SQUARE TUBES 20X20X2X6000 MM 500-3294 6060 T6","KG","y",,"n",,,
"4163","4578","12010200200040001540","TABLA ALUMINIU 1050 H24  2x2000x4000 MM","{19}","4000","2000","2.00",,,"EN AW 1050 H24","","KG","BUC","43.200000","AL SHEETS 1050 H24 2X2000X4000 MM","KG","y",,"n",,,
